lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;ve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
100002687;VGO;Nee;Ven - Beeris;6;;Ingeschreven;21-07-2025;Opvang bij de vraagouder;;;;Ven - Beeris;;;;;;;;;;;;;;;'';;;1659;Laarbeek;149051232;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/826239c8-3de3-4629-8d62-a0dc29d55eb1
100019778;BSO;Nee;Buitenschoolse opvang De Lei;80;;Ingeschreven;09-11-2020;Larikslaan 2 ;2451BV;Leimuiden;1884010000026995;Stichting FloreoKids;41165967;000019526881;Stichting;2016-01-18;;Postbus 9;2350AA;Leiderdorp;;;;;;;'071-5817777';info@floreokids.nl;http://www.floreokids.nl;1884;Kaag en Braassem;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a4c36631-40a4-444d-84b3-b792a1e9cdf6
100022340;VGO;Nee;Shatunova de Vries;6;;Ingeschreven;11-09-2014;Dorsvlegel 26 ;3763ZP;Soest;0342010000019898;Shatunova;;;;;;;;;;;;;;;'';;;342;Soest;205841971;385569786;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6a5d4c94-1dd2-44ab-a279-1df1fd536772
100027544;BSO;Nee;BSO Partou Fluitenkruid 10;140;;Ingeschreven;01-01-2010;Fluitenkruid 10 ;5236TL;'s-Hertogenbosch;0796010000432912;Smallsteps B.V.;60901934;000059382341;Besloten Vennootschap;2016-01-27;;Postbus 396;4130EJ;Vianen;;Canadasingel 10A ;5247WZ;Rosmalen;;Regiosecretariaat;'088-2357550';regiosecretariaat@partou.nl;http://www.smallsteps.nl;796;'s-Hertogenbosch;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0798c5bb-6b12-4dcf-ac8c-23d60dc6c806
100037264;KDV;Nee;Topkids KDV Torenstraat Soest;19;Nee;Ingeschreven;10-12-2010;Torenstraat 15 ;3764CK;Soest;0342010000003982;Kinderdagverblijf Topkids B.V.;50634089;000048184888;Besloten Vennootschap;2016-04-12;;Torenstraat 15 ;3764CK;Soest;;Postbus 2728;3500GS;Utrecht;;Topkids Kinderopvang;'';kwaliteit@topkids.nl;http://www.topkids.nl;342;Soest;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b3c0f011-e459-4eb1-89cc-b655d403512c
100037951;VGO;Nee;Holleman;6;;Ingeschreven;27-09-2010;Bieslookveld 23 ;7006TG;Doetinchem;0222010000614058;Holleman;;;;;;;;;;;;;;;'';;;222;Doetinchem;163832341;210758855;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b246a85f-cfd7-4e9c-9bf7-bf7486259692
100048146;KDV;Nee;Kindontwikkeling Kik Eben Haëzer;16;Ja;Ingeschreven;19-12-2019;Blauwe Distelstraat 31 ;3252LA;Goedereede;0511010001960784;Stichting Kibeo;22049355;000044711026;Stichting;2016-01-25;;Postbus 328;4460AS;Goes;;Postbus 328;4460AS;Goes;;afdeling facilitair;'0187 76 02 00';info@kibeo.nl;;1924;Goeree-Overflakkee;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0a845590-74da-4898-bf13-9efbe030fdde
100054006;BSO;Nee;Het Oerkind;34;;Ingeschreven;06-02-2012;Sportlaan 1f ;6681CD;Bemmel;1705010000023433;Oerke & Oerkind B.V.;42100494;000023856440;Besloten Vennootschap;2016-04-14;;Groenewei 19 ;6681WG;Bemmel;;Groenewei 19 ;6681WG;Bemmel;;Tiemen van Engen;'06-29068392';info@hetoerkind.nl;;1705;Lingewaard;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6864db82-f5e7-49b5-93aa-7e1a6a607dfa
100062507;KDV;Nee;de Kikker PO;16;Ja;Ingeschreven;01-07-2012;Willem van Coulsterstraat 2 ;1962WN;Heemskerk;0396010001012779;Stichting Welschap Kinderopvang;34219786;000022138730;Stichting;2016-01-11;;Lauraplein 1 ;1961GP;Heemskerk;;Postbus 149;1960AC;HEEMSKERK;;Afdeling Klantenservice;'0251 731 731';kinderopvang@welschap.nl;http://www.welschapkinderopvang.nl;396;Heemskerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2f33bbfb-aded-4a4b-ae64-50975cde4204
100066410;VGO;Nee;Wijnands den Uijl;5;;Ingeschreven;21-09-2010;Veeringstraat 33 ;1502NK;Zaandam;0479010000009851;Wijnands den Uijl;;;;;;;;;;;;;;;'';;;479;Zaanstad;158005909;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a2456164-9838-4cb9-a456-62e1cc3f2bc5
